,Country,GDP per capita,Móvil,Internet,Banda Ancha,Year
177,Norway,1560.3249311723,,,,1961
178,Nepal,51.8112487287027,,,,1961
179,Nauru,,,,,1961
180,New Zealand,2343.29221317425,,,,1961
181,OECD members,1384.98127858334,,,,1961
182,Oman,,,,,1961
183,Other small states,,,,,1961
184,Pakistan,89.40903402537,,,,1961
185,Panama,513.251679347454,,,,1961
186,Peru,277.568763437667,,,,1961
187,Philippines,300.842041554374,,,,1961
188,Palau,,,,,1961
189,Papua New Guinea,106.585325466087,,,,1961
190,Poland,,,,,1961
191,Pre-demographic dividend,112.386795802745,,,,1961
192,Puerto Rico,777.215027407341,,,,1961
193,"Korea, Dem. People's Rep.",,,,,1961
194,Portugal,382.729946994368,,,,1961
195,Paraguay,,,,,1961
196,West Bank and Gaza,,,,,1961
197,Pacific island small states,,,,,1961
198,Post-demographic dividend,1447.27325716305,,,,1961
199,French Polynesia,,,,,1961
200,Qatar,,,,,1961
201,Romania,,,,,1961
202,Russian Federation,,,,,1961
203,Rwanda,40.6892681068887,,,,1961
204,South Asia,86.0460827574312,,,,1961
205,Saudi Arabia,,,,,1961
206,Sudan,133.082246078262,,,,1961
207,Senegal,321.361239587783,,,,1961
208,Singapore,449.151071278746,,,,1961
209,Solomon Islands,,,,,1961
210,Sierra Leone,139.363569743324,,,,1961
211,El Salvador,,,,,1961
212,San Marino,,,,,1961
213,Somalia,68.1063969710067,,,,1961
214,Serbia,,,,,1961
215,Sub-Saharan Africa (excluding high income),130.738406942171,,,,1961
216,South Sudan,,,,,1961
217,Sub-Saharan Africa,130.761166151421,,,,1961
218,Small states,,,,,1961
219,Sao Tome and Principe,,,,,1961
220,Suriname,363.95832558894,,,,1961
221,Slovak Republic,,,,,1961
222,Slovenia,,,,,1961
223,Sweden,2288.92170111915,,,,1961
224,Eswatini,125.311491894503,,,,1961
225,Sint Maarten (Dutch part),,,,,1961
226,Seychelles,270.279362820574,,,,1961
227,Syrian Arab Republic,200.183479817742,,,,1961
228,Turks and Caicos Islands,,,,,1961
229,Chad,109.129250541736,,,,1961
230,East Asia & Pacific (IDA & IBRD countries),80.9995268658044,,,,1961
231,Europe & Central Asia (IDA & IBRD countries),,,,,1961
232,Togo,79.1202816529452,,,,1961
233,Thailand,107.498000971957,,,,1961
234,Tajikistan,,,,,1961
235,Turkmenistan,,,,,1961
236,Latin America & the Caribbean (IDA & IBRD countries),390.205816482465,,,,1961
237,Timor-Leste,,,,,1961
238,Middle East & North Africa (IDA & IBRD countries),,,,,1961
239,Tonga,,,,,1961
240,South Asia (IDA & IBRD),86.0460827574313,,,,1961
241,Sub-Saharan Africa (IDA & IBRD countries),130.76116615142,,,,1961
242,Trinidad and Tobago,676.401178353489,,,,1961
243,Tunisia,,,,,1961
244,Turkey,283.828284266983,,,,1961
245,Tuvalu,,,,,1961
246,Tanzania,,,,,1961
247,Uganda,63.2209673403389,,,,1961
248,Ukraine,,,,,1961
249,Upper middle income,191.578466710829,,,,1961
250,Uruguay,601.703002716251,,,,1961
251,United States,3066.56286916615,,,,1961
252,Uzbekistan,,,,,1961
253,St. Vincent and the Grenadines,170.381210864394,,,,1961
254,"Venezuela, RB",970.356398396839,,,,1961
255,British Virgin Islands,,,,,1961
256,Virgin Islands (U.S.),,,,,1961
257,Vietnam,,,,,1961
258,Vanuatu,,,,,1961
259,World,470.067155389768,,,,1961
260,Samoa,,,,,1961
261,Kosovo,,,,,1961
262,"Yemen, Rep.",,,,,1961
263,South Africa,454.962013204571,,,,1961
264,Zambia,220.04206713134,,,,1961
265,Zimbabwe,280.828662870886,,,,1961
266,Aruba,,,,,1962
267,Africa Eastern and Southern,156.189191718689,,,,1962
268,Afghanistan,58.4580086983139,,,,1962
269,Africa Western and Central,118.831106706209,,,,1962
270,Angola,,,,,1962
271,Albania,,,,,1962
272,Andorra,,,,,1962
273,Arab World,,,,,1962
274,United Arab Emirates,,,,,1962
275,Argentina,1155.89071669257,,,,1962
276,Armenia,,,,,1962
277,American Samoa,,,,,1962
278,Antigua and Barbuda,,,,,1962
279,Australia,1854.65683385421,,,,1962
280,Austria,1087.8342434189,,,,1962
281,Azerbaijan,,,,,1962
282,Burundi,73.4353308201368,,,,1962
283,Belgium,1438.5232330684,,,,1962
284,Benin,94.4644972423036,,,,1962
285,Burkina Faso,76.520549314543,,,,1962
286,Bangladesh,100.122129600152,,,,1962
287,Bulgaria,,,,,1962
288,Bahrain,,,,,1962
289,"Bahamas, The",1752.84000562204,,,,1962
290,Bosnia and Herzegovina,,,,,1962
291,Belarus,,,,,1962
292,Belize,327.099996524794,,,,1962
293,Bermuda,2020.38596495589,,,,1962
294,Bolivia,116.924968208513,,,,1962
295,Brazil,251.348317405138,,,,1962
296,Barbados,,,,,1962
297,Brunei Darussalam,,,,,1962
298,Bhutan,,,,,1962
299,Botswana,68.0503489586687,,,,1962
300,Central African Republic,80.2127116671332,,,,1962
301,Canada,2268.58534607907,,,,1962
302,Central Europe and the Baltics,,,,,1962
303,Switzerland,2131.39165159983,,,,1962
304,Channel Islands,,,,,1962
305,Chile,638.945359978238,,,,1962
306,China,70.9094116671007,,,,1962
307,Cote d'Ivoire,171.128639637282,,,,1962
308,Cameroon,128.594637171558,,,,1962
309,"Congo, Dem. Rep.",235.63352441259,,,,1962
310,"Congo, Rep.",155.738527194474,,,,1962
311,Colombia,289.917945751026,,,,1962
312,Comoros,,,,,1962
313,Cabo Verde,,,,,1962
314,Costa Rica,334.309248673039,,,,1962
315,Caribbean small states,494.736371870332,,,,1962
316,Cuba,,,,,1962
317,Curacao,,,,,1962
318,Cayman Islands,,,,,1962
319,Cyprus,,,,,1962
320,Czech Republic,,,,,1962
321,Germany,,,,,1962
322,Djibouti,,,,,1962
323,Dominica,,,,,1962
324,Denmark,,,,,1962
325,Dominican Republic,234.051629386729,,,,1962
326,Algeria,172.242508957181,,,,1962
327,East Asia & Pacific (excluding high income),72.1426129648904,,,,1962
328,Early-demographic dividend,157.878198472609,,,,1962
329,East Asia & Pacific,149.665624199563,,,,1962
330,Europe & Central Asia (excluding high income),,,,,1962
331,Europe & Central Asia,,,,,1962
332,Ecuador,315.688704017871,,,,1962
333,"Egypt, Arab Rep.",,,,,1962
334,Euro area,1106.28613941102,,,,1962
335,Eritrea,,,,,1962
336,Spain,520.206131380005,,,,1962
337,Estonia,,,,,1962
338,Ethiopia,,,,,1962
339,European Union,,,,,1962
340,Fragile and conflict affected situations,,,,,1962
341,Finland,1411.70239818044,,,,1962
342,Fiji,291.473333502059,,,,1962
343,France,1578.28453778015,,,,1962
344,Faroe Islands,,,,,1962
345,"Micronesia, Fed. Sts.",,,,,1962
346,Gabon,357.523761698303,,,,1962
347,United Kingdom,1525.77585271032,,,,1962
348,Georgia,,,,,1962
349,Ghana,195.492397739104,,,,1962
350,Gibraltar,,,,,1962
351,Guinea,,,,,1962
352,"Gambia, The",,,,,1962
353,Guinea-Bissau,,,,,1962
354,Equatorial Guinea,34.7905813582671,,,,1962
355,Greece,617.057757690519,,,,1962
356,Grenada,,,,,1962
357,Greenland,,,,,1962
358,Guatemala,261.179133806117,,,,1962
359,Guam,,,,,1962
360,Guyana,321.545236786277,,,,1962
361,High income,1562.40830350424,,,,1962
362,"Hong Kong SAR, China",487.821134050813,,,,1962
363,Honduras,179.876306335728,,,,1962
364,Heavily indebted poor countries (HIPC),114.695956051879,,,,1962
365,Croatia,,,,,1962
366,Haiti,70.1380458806057,,,,1962
367,Hungary,,,,,1962
368,IBRD only,159.000174232199,,,,1962
369,IDA & IBRD total,150.544035344507,,,,1962
370,IDA total,105.966053291432,,,,1962
371,IDA blend,109.320407730816,,,,1962
372,Indonesia,,,,,1962
373,IDA only,107.66377889508,,,,1962
374,Isle of Man,,,,,1962
375,India,89.8817564947458,,,,1962
376,Not classified,,,,,1962
377,Ireland,797.006288353959,,,,1962
378,"Iran, Islamic Rep.",203.437369612771,,,,1962
379,Iraq,254.701533222261,,,,1962
380,Iceland,1562.23073045837,,,,1962
381,Israel,1094.63584823375,,,,1962
382,Italy,990.26015216342,,,,1962
383,Jamaica,463.890513421464,,,,1962
384,Jordan,,,,,1962
385,Japan,639.640785435342,,,,1962
386,Kazakhstan,,,,,1962
387,Kenya,100.394495111031,,,,1962
388,Kyrgyz Republic,,,,,1962
389,Cambodia,109.481170163168,,,,1962
390,Kiribati,,,,,1962
391,St. Kitts and Nevis,246.101178423671,,,,1962
392,"Korea, Rep.",106.148505720006,,,,1962
393,Kuwait,,,,,1962
394,Latin America & Caribbean (excluding high income),376.502517667278,,,,1962
395,Lao PDR,,,,,1962
396,Lebanon,,,,,1962
397,Liberia,,,,,1962
398,Libya,,,,,1962
399,St. Lucia,,,,,1962
400,Latin America & Caribbean,422.651824946829,,,,1962
401,Least developed countries: UN classification,,,,,1962
402,Low income,,,,,1962
403,Liechtenstein,,,,,1962
404,Sri Lanka,138.536653980207,,,,1962
405,Lower middle income,93.2923976435055,,,,1962
406,Low & middle income,143.161418024262,,,,1962
407,Lesotho,48.1620315633801,,,,1962
408,Late-demographic dividend,158.403467868944,,,,1962
409,Lithuania,,,,,1962
410,Luxembourg,2311.79884893619,,,,1962
411,Latvia,,,,,1962
412,"Macao SAR, China",,,,,1962
413,St. Martin (French part),,,,,1962
414,Morocco,181.182640859323,,,,1962
415,Monaco,,,,,1962
416,Moldova,,,,,1962
417,Madagascar,138.120003962927,,,,1962
418,Maldives,,,,,1962
419,Middle East & North Africa,,,,,1962
420,Mexico,378.153495389687,,,,1962
421,Marshall Islands,,,,,1962
422,Middle income,146.027379445656,,,,1962
423,North Macedonia,,,,,1962
424,Mali,,,,,1962
425,Malta,,,,,1962
426,Myanmar,26.9859199932043,,,,1962
427,Middle East & North Africa (excluding high income),,,,,1962
428,Montenegro,,,,,1962
429,Mongolia,,,,,1962
430,Northern Mariana Islands,,,,,1962
431,Mozambique,,,,,1962
432,Mauritania,182.181892707655,,,,1962
433,Mauritius,,,,,1962
434,Malawi,47.6983839148743,,,,1962
435,Malaysia,230.260593749195,,,,1962
436,North America,3155.09753778965,,,,1962
437,Namibia,,,,,1962
438,New Caledonia,,,,,1962
439,Niger,148.189159916588,,,,1962
440,Nigeria,104.38702854306,,,,1962
441,Nicaragua,140.557345647812,,,,1962
442,Netherlands,1240.67789437294,,,,1962
443,Norway,1667.2474297782,,,,1962
444,Nepal,55.0256889119249,,,,1962
445,Nauru,,,,,1962
446,New Zealand,2448.62863326468,,,,1962
447,OECD members,1474.28362248626,,,,1962
448,Oman,,,,,1962
449,Other small states,,,,,1962
450,Pakistan,91.319184879153,,,,1962
451,Panama,542.328185774508,,,,1962
452,Peru,305.761616917688,,,,1962
453,Philippines,176.460034846971,,,,1962
454,Palau,,,,,1962
455,Papua New Guinea,111.600465303381,,,,1962
456,Poland,,,,,1962
457,Pre-demographic dividend,120.235160954014,,,,1962
458,Puerto Rico,854.74480496849,,,,1962
459,"Korea, Dem. People's Rep.",,,,,1962
460,Portugal,407.852843612372,,,,1962
461,Paraguay,,,,,1962
462,West Bank and Gaza,,,,,1962
463,Pacific island small states,,,,,1962
464,Post-demographic dividend,1543.63489474658,,,,1962
465,French Polynesia,,,,,1962
466,Qatar,,,,,1962
467,Romania,,,,,1962
468,Russian Federation,,,,,1962
469,Rwanda,40.9441819467614,,,,1962
470,South Asia,89.9113280369832,,,,1962
471,Saudi Arabia,,,,,1962
472,Sudan,140.725123548291,,,,1962
473,Senegal,320.501538911354,,,,1962
474,Singapore,472.085824452565,,,,1962
475,Solomon Islands,,,,,1962
476,Sierra Leone,143.4726482737,,,,1962
477,El Salvador,,,,,1962
478,San Marino,,,,,1962
479,Somalia,70.8130489706682,,,,1962
480,Serbia,,,,,1962
481,Sub-Saharan Africa (excluding high income),138.343462203566,,,,1962
482,South Sudan,,,,,1962
483,Sub-Saharan Africa,138.36785369435,,,,1962
484,Small states,,,,,1962
485,Sao Tome and Principe,,,,,1962
486,Suriname,382.20563749202,,,,1962
487,Slovak Republic,,,,,1962
488,Slovenia,,,,,1962
489,Sweden,2468.69458903006,,,,1962
490,Eswatini,131.162089528268,,,,1962
491,Sint Maarten (Dutch part),,,,,1962
492,Seychelles,287.044788426874,,,,1962
493,Syrian Arab Republic,227.788340422721,,,,1962
494,Turks and Caicos Islands,,,,,1962
495,Chad,114.581806596806,,,,1962
496,East Asia & Pacific (IDA & IBRD countries),72.9970852722311,,,,1962
497,Europe & Central Asia (IDA & IBRD countries),,,,,1962
498,Togo,81.9944440812139,,,,1962
499,Thailand,113.782849798549,,,,1962
500,Tajikistan,,,,,1962
501,Turkmenistan,,,,,1962
502,Latin America & the Caribbean (IDA & IBRD countries),415.53299898473,,,,1962
503,Timor-Leste,,,,,1962
504,Middle East & North Africa (IDA & IBRD countries),,,,,1962
505,Tonga,,,,,1962
506,South Asia (IDA & IBRD),89.9113280369833,,,,1962
507,Sub-Saharan Africa (IDA & IBRD countries),138.36785369435,,,,1962
508,Trinidad and Tobago,704.223158183224,,,,1962
509,Tunisia,,,,,1962
510,Turkey,309.446624309012,,,,1962
511,Tuvalu,,,,,1962
512,Tanzania,,,,,1962
513,Uganda,62.2263145933461,,,,1962
514,Ukraine,,,,,1962
515,Upper middle income,193.644051053264,,,,1962
516,Uruguay,656.713226833868,,,,1962
517,United States,3243.84307754988,,,,1962
518,Uzbekistan,,,,,1962
519,St. Vincent and the Grenadines,174.496077071349,,,,1962
520,"Venezuela, RB",1023.35523677477,,,,1962
521,British Virgin Islands,,,,,1962
522,Virgin Islands (U.S.),,,,,1962
523,Vietnam,,,,,1962
524,Vanuatu,,,,,1962
525,World,494.623296566079,,,,1962
526,Samoa,,,,,1962
527,Kosovo,,,,,1962
528,"Yemen, Rep.",,,,,1962
529,South Africa,473.011404787688,,,,1962
530,Zambia,212.578449093004,,,,1962
531,Zimbabwe,276.688232770327,,,,1962
532,Aruba,,,,,1963
533,Africa Eastern and Southern,182.243917033772,,,,1963
534,Afghanistan,78.7064287776753,,,,1963
535,Africa Western and Central,123.442887950613,,,,1963
536,Angola,,,,,1963
537,Albania,,,,,1963
538,Andorra,,,,,1963
539,Arab World,,,,,1963
540,United Arab Emirates,,,,,1963
541,Argentina,850.304578624232,,,,1963
542,Armenia,,,,,1963
543,American Samoa,,,,,1963
544,Antigua and Barbuda,,,,,1963
545,Australia,1967.11653731032,,,,1963
546,Austria,1167.00053244585,,,,1963
547,Azerbaijan,,,,,1963
548,Burundi,78.5146207549818,,,,1963
549,Belgium,1535.02372901043,,,,1963
550,Benin,99.8589175338946,,,,1963
551,Burkina Faso,78.3721958330329,,,,1963
552,Bangladesh,101.901412511993,,,,1963
553,Bulgaria,,,,,1963
554,Bahrain,,,,,1963
555,"Bahamas, The",1867.0103505514,,,,1963
556,Bosnia and Herzegovina,,,,,1963
557,Belarus,,,,,1963
558,Belize,336.938102250285,,,,1963
559,Bermuda,2020.2652474469,,,,1963
560,Bolivia,123.429341345478,,,,1963
561,Brazil,295.631970805808,,,,1963
562,Barbados,,,,,1963
563,Brunei Darussalam,,,,,1963
564,Bhutan,,,,,1963
565,Botswana,71.1064390847651,,,,1963
566,Central African Republic,81.9179092292569,,,,1963
567,Canada,2374.49844764883,,,,1963
568,Central Europe and the Baltics,,,,,1963
569,Switzerland,2294.18284731738,,,,1963
570,Channel Islands,,,,,1963
571,Chile,655.252248742542,,,,1963
572,China,74.3136434486145,,,,1963
573,Cote d'Ivoire,194.212529845992,,,,1963
574,Cameroon,130.175274222774,,,,1963
575,"Congo, Dem. Rep.",377.429878539264,,,,1963
576,"Congo, Rep.",157.055866084783,,,,1963
577,Colombia,274.314957549389,,,,1963
578,Comoros,,,,,1963
579,Cabo Verde,,,,,1963
580,Costa Rica,344.354656780256,,,,1963
581,Caribbean small states,516.739524018496,,,,1963
582,Cuba,,,,,1963
583,Curacao,,,,,1963
584,Cayman Islands,,,,,1963
585,Cyprus,,,,,1963
586,Czech Republic,,,,,1963
587,Germany,,,,,1963
588,Djibouti,,,,,1963
589,Dominica,,,,,1963
590,Denmark,,,,,1963
591,Dominican Republic,258.595781875754,,,,1963
592,Algeria,226.895450128271,,,,1963
593,East Asia & Pacific (excluding high income),76.1997857810042,,,,1963
594,Early-demographic dividend,163.510766639848,,,,1963
595,East Asia & Pacific,163.028237443657,,,,1963
596,Europe & Central Asia (excluding high income),,,,,1963
597,Europe & Central Asia,,,,,1963
598,Ecuador,368.629583701342,,,,1963
599,"Egypt, Arab Rep.",,,,,1963
600,Euro area,1229.91039582711,,,,1963
601,Eritrea,,,,,1963
602,Spain,609.487384056513,,,,1963
603,Estonia,,,,,1963
604,Ethiopia,,,,,1963
605,European Union,,,,,1963
606,Fragile and conflict affected situations,,,,,1963
607,Finland,1522.3192420995,,,,1963
608,Fiji,296.708316522231,,,,1963
609,France,1744.64012289392,,,,1963
610,Faroe Islands,,,,,1963
611,"Micronesia, Fed. Sts.",,,,,1963
612,Gabon,298.470446191799,,,,1963
613,United Kingdom,1613.45688373392,,,,1963
614,Georgia,,,,,1963
615,Ghana,211.064567779218,,,,1963
616,Gibraltar,,,,,1963
617,Guinea,,,,,1963
618,"Gambia, The",,,,,1963
619,Guinea-Bissau,,,,,1963
620,Equatorial Guinea,40.7514713195802,,,,1963
621,Greece,695.228624389878,,,,1963
622,Grenada,,,,,1963
623,Greenland,,,,,1963
624,Guatemala,280.096636444858,,,,1963
625,Guam,,,,,1963
626,Guyana,282.304071272384,,,,1963
627,High income,1661.97330481344,,,,1963
628,"Hong Kong SAR, China",565.727810358046,,,,1963
629,Honduras,185.048847121322,,,,1963
630,Heavily indebted poor countries (HIPC),135.071734392816,,,,1963
631,Croatia,,,,,1963
632,Haiti,71.9621841715769,,,,1963
633,Hungary,,,,,1963
634,IBRD only,166.706991491186,,,,1963
635,IDA & IBRD total,158.839719038516,,,,1963
636,IDA total,116.185483924876,,,,1963
637,IDA blend,112.882132692088,,,,1963
638,Indonesia,,,,,1963
639,IDA only,121.762130192676,,,,1963
640,Isle of Man,,,,,1963
641,India,101.126429448401,,,,1963
642,Not classified,,,,,1963
643,Ireland,852.135301717888,,,,1963
644,"Iran, Islamic Rep.",208.132466967936,,,,1963
645,Iraq,250.787205396323,,,,1963
646,Iceland,1831.70565581972,,,,1963
647,Israel,1257.81140535239,,,,1963
648,Italy,1126.01933699825,,,,1963
649,Jamaica,485.243808148736,,,,1963
650,Jordan,,,,,1963
651,Japan,724.693762224539,,,,1963
652,Kazakhstan,,,,,1963
653,Kenya,103.778721037772,,,,1963
654,Kyrgyz Republic,,,,,1963
655,Cambodia,117.823450202335,,,,1963
656,Kiribati,,,,,1963
657,St. Kitts and Nevis,253.977446412557,,,,1963
658,"Korea, Rep.",146.314341932979,,,,1963
659,Kuwait,,,,,1963
660,Latin America & Caribbean (excluding high income),369.285249034632,,,,1963
661,Lao PDR,,,,,1963
662,Lebanon,,,,,1963
663,Liberia,,,,,1963
664,Libya,,,,,1963
665,St. Lucia,,,,,1963
666,Latin America & Caribbean,419.321445886875,,,,1963
667,Least developed countries: UN classification,,,,,1963
668,Low income,,,,,1963
669,Liechtenstein,,,,,1963
670,Sri Lanka,117.071988276079,,,,1963
671,Lower middle income,101.428034066133,,,,1963
672,Low & middle income,151.26084918474,,,,1963
673,Lesotho,53.0878339288329,,,,1963
674,Late-demographic dividend,169.436279303549,,,,1963
675,Lithuania,,,,,1963
676,Luxembourg,2441.03855530008,,,,1963
677,Latvia,,,,,1963
678,"Macao SAR, China",,,,,1963
679,St. Martin (French part),,,,,1963
680,Morocco,196.531277873518,,,,1963
681,Monaco,,,,,1963
682,Moldova,,,,,1963
683,Madagascar,138.407165710075,,,,1963
684,Maldives,,,,,1963
685,Middle East & North Africa,,,,,1963
686,Mexico,409.045570064212,,,,1963
687,Marshall Islands,,,,,1963
688,Middle income,152.956085473667,,,,1963
689,North Macedonia,,,,,1963
690,Mali,,,,,1963
691,Malta,,,,,1963
692,Myanmar,28.4494304955199,,,,1963
693,Middle East & North Africa (excluding high income),,,,,1963
694,Montenegro,,,,,1963
695,Mongolia,,,,,1963
696,Northern Mariana Islands,,,,,1963
697,Mozambique,,,,,1963
698,Mauritania,181.090476441533,,,,1963
699,Mauritius,,,,,1963
700,Malawi,48.505428353626,,,,1963
701,Malaysia,279.717540522244,,,,1963
702,North America,3283.14145301388,,,,1963
703,Namibia,,,,,1963
704,New Caledonia,,,,,1963
705,Niger,158.71606449228,,,,1963
706,Nigeria,107.540572585071,,,,1963
707,Nicaragua,150.503658923287,,,,1963
708,Netherlands,1328.03664879968,,,,1963
709,Norway,1775.58265544979,,,,1963
710,Nepal,46.8614532574513,,,,1963
711,Nauru,,,,,1963
712,New Zealand,2622.2202714036,,,,1963
713,OECD members,1567.43575968101,,,,1963
714,Oman,,,,,1963
715,Other small states,,,,,1963
716,Pakistan,95.7033778155834,,,,1963
717,Panama,583.411561773293,,,,1963
718,Peru,325.516339164069,,,,1963
719,Philippines,189.746866025242,,,,1963
720,Palau,,,,,1963
